age,d18O,Ca2
10840,-36.65,8.09
10840,-36.54,7.85
10860,-36.54,7.85
10860,-36.33,8.82
10880,-36.33,8.82
10880,-36.7,10.88
10900,-36.7,10.88
10900,-36.44,8.52
10920,-36.44,8.52
10920,-36.8,9.38
10940,-36.8,9.38
10940,-36.44,8.13
10960,-36.44,8.13
10960,-36.87,NA
10980,-36.87,NA
10980,-36.93,11.23
11000,-36.93,11.23
11000,-36.12,9.48
11020,-36.12,9.48
11020,-36.34,10.84
11040,-36.34,10.84
11040,-36.37,8.65
11060,-36.37,8.65
11060,-36.15,11.34
11080,-36.15,11.34
11080,-37.32,11.19
11100,-37.32,11.19
11100,-36.88,8.199999999999998
11120,-36.88,8.199999999999998
11120,-36.34,8.46
11140,-36.34,8.46
11140,-37.56,8.12
11160,-37.56,8.12
11160,-36.66,9.18
11180,-36.66,9.18
11180,-36.88,11.09
11200,-36.88,11.09
11200,-36.69,11.34
11220,-36.69,11.34
11220,-37.13,9.76
11240,-37.13,9.76
11240,-36.38,8.61
11260,-36.38,8.61
11260,-36.02,8.63
11280,-36.02,8.63
11280,-36.11,9.33
11300,-36.11,9.33
11300,-36.96,14.18
11320,-36.96,14.18
11320,-37.01,13.32
11340,-37.01,13.32
11340,-36.9,11.84
11360,-36.9,11.84
11360,-37.35,12.15
11380,-37.35,12.15
11380,-38.02,12.91
11400,-38.02,12.91
11400,-37.88,17.52
11420,-37.88,17.52
11420,-37.82,23.3
11440,-37.82,23.3
11440,-37.44,16.31
11460,-37.44,16.31
11460,-38.17,23.67
11480,-38.17,23.67
11480,-36.91,15.36
11500,-36.91,15.36
11500,-37.04,22.89
11520,-37.04,22.89
11520,-37.26,14.07
11540,-37.26,14.07
11540,-35.95,10.91
11560,-35.95,10.91
11560,-36.69,8.69
11580,-36.69,8.69
11580,-36.32,9.11
11600,-36.32,9.11
11600,-37.18,10.64
11620,-37.18,10.64
11620,-36.72,9.81
11640,-36.72,9.81
11640,-36.66,12.06
11660,-36.66,12.06
11660,-37.84,14.92
11680,-37.84,14.92
11680,-38.85,32.39
11700,-38.85,32.39
11700,-40.51,81.8
11720,-40.51,81.8
11720,-40.38,77.93
11740,-40.38,77.93
11740,-39.33,78
11760,-39.33,78
11760,-39.67,91.52
11780,-39.67,91.52
11780,-40.97,81.75
11800,-40.97,81.75
11800,-40.66,90.79
11820,-40.66,90.79
11820,-39.74,81.77
11840,-39.74,81.77
11840,-41.4,130.58
11860,-41.4,130.58
11860,-39.31,101.45
11880,-39.31,101.45
11880,-41.18,115.34
11900,-41.18,115.34
11900,-41.62,105.13
11920,-41.62,105.13
11920,-40.41,108.82
11940,-40.41,108.82
11940,-40,92.25
11960,-40,92.25
11960,-40.09,110.52
11980,-40.09,110.52
11980,-39.66,96.86
12000,-39.66,96.86
12000,-40.85,116.36
12020,-40.85,116.36
12020,-40.29,75.41
12040,-40.29,75.41
12040,-40.17,68.95
12060,-40.17,68.95
12060,-40.07,118.32
12080,-40.07,118.32
12080,-40.13,94.23
12100,-40.13,94.23
12100,-39.82,138.68
12120,-39.82,138.68
12120,-40.64,91.58
12140,-40.64,91.58
12140,-40.68,119.7
12160,-40.68,119.7
12160,-41.5,167.14
12180,-41.5,167.14
12180,-39.48,105.22
12200,-39.48,105.22
12200,-41.7,153.1
12220,-41.7,153.1
12220,-40.78,141.49
12240,-40.78,141.49
